Date : 2024-07-31 16:13:34
Directory : d:\RuoYi\RuoYi-Vue-master\ruoyi-ui
Total : 302 files,  28088 codes, 1010 comments, 1546 blanks, all 30644 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\upload.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\user.svg                             | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\validCode.svg                        | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\wechat.svg                           | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svg\zip.svg                              | XML        |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\icons\svgo.yml                                 | YAML       |          5 |         13 |          5 |         23 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\images\dark.svg                                | XML        |         39 |          0 |          0 |         39 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\images\light.svg                               | XML        |         39 |          0 |          0 |         39 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\btn.scss                                | SCSS       |         83 |          0 |         17 |        100 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\element-ui.scss                         | SCSS       |         71 |          6 |         15 |         92 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\element-variables.scss                  | SCSS       |         13 |         10 |          9 |         32 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\index.scss                              | SCSS       |        148 |          1 |         34 |        183 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\mixin.scss                              | SCSS       |         56 |          0 |         11 |         67 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\ruoyi.scss                              | SCSS       |        227 |         13 |         52 |        292 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\sidebar.scss                            | SCSS       |        180 |          6 |         42 |        228 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\transition.scss                         | SCSS       |         36 |          4 |         10 |         50 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\assets\styles\variables.scss                          | SCSS       |         30 |         18 |          7 |         55 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Breadcrumb\index.vue                       | vue        |         69 |          0 |          6 |         75 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\day.vue                            | vue        |        153 |          0 |          9 |        162 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\hour.vue                           | vue        |        116 |          0 |          5 |        121 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\index.vue                          | vue        |        418 |          0 |         13 |        431 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\min.vue                            | vue        |        110 |          0 |          6 |        116 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\month.vue                          | vue        |        110 |          0 |          5 |        115 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\result.vue                         | vue        |        546 |          0 |         14 |        560 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\second.vue                         | vue        |        113 |          0 |          5 |        118 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\week.vue                           | vue        |        194 |          0 |          9 |        203 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Crontab\year.vue                           | vue        |        125 |          0 |          7 |        132 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\DictData\index.js                          | JavaScript |         46 |          0 |          3 |         49 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\DictTag\index.vue                          | vue        |         87 |          0 |          3 |         90 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Editor\index.vue                           | vue        |        271 |          0 |          4 |        275 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\FileUpload\index.vue                       | vue        |        211 |          3 |          5 |        219 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Hamburger\index.vue                        | vue        |         41 |          0 |          4 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\HeaderSearch\index.vue                     | vue        |        185 |          0 |         14 |        199 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\IconSelect\index.vue                       | vue        |        101 |          1 |          3 |        105 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\IconSelect\requireIcons.js                 | JavaScript |          7 |          0 |          5 |         12 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\ImagePreview\index.vue                     | vue        |         87 |          0 |          4 |         91 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\ImageUpload\index.vue                      | vue        |        218 |          1 |          8 |        227 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Pagination\index.vue                       | vue        |        111 |          0 |          4 |        115 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\PanThumb\index.vue                         | vue        |        129 |          1 |         13 |        143 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\ParentView\index.vue                       | vue        |          3 |          0 |          1 |          4 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\RightPanel\index.vue                       | vue        |        102 |          0 |          5 |        107 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\RightToolbar\index.vue                     | vue        |        129 |          0 |          1 |        130 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\RuoYi\Doc\index.vue                        | vue        |         20 |          0 |          1 |         21 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\RuoYi\Git\index.vue                        | vue        |         20 |          0 |          1 |         21 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\Screenfull\index.vue                       | vue        |         54 |          0 |          4 |         58 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\SizeSelect\index.vue                       | vue        |         52 |          0 |          5 |         57 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\SvgIcon\index.vue                          | vue        |         57 |          0 |          5 |         62 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\ThemePicker\index.vue                      | vue        |        149 |          0 |         25 |        174 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\TopNav\index.vue                           | vue        |        187 |          1 |          8 |        196 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\components\iFrame\index.vue                           | vue        |         36 |          0 |          1 |         37 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\dialog\drag.js                              | JavaScript |         43 |         13 |          8 |         64 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\dialog\dragHeight.js                        | JavaScript |         26 |          7 |          2 |         35 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\dialog\dragWidth.js                         | JavaScript |         22 |          7 |          2 |         31 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\index.js                                    | JavaScript |         20 |          0 |          4 |         24 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\module\clipboard.js                         | JavaScript |         49 |          4 |          2 |         55 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\permission\hasPermi.js                      | JavaScript |         19 |          4 |          6 |         29 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\directive\permission\hasRole.js                       | JavaScript |         19 |          4 |          6 |         29 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\AppMain.vue                         | vue        |         65 |          0 |         11 |         76 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\IframeToggle\index.vue              | vue        |         31 |          0 |          3 |         34 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\InnerLink\index.vue                 | vue        |         46 |          0 |          2 |         48 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Navbar.vue                          | vue        |        175 |          0 |         26 |        201 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Settings\index.vue                  | vue        |        239 |          0 |         22 |        261 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\FixiOSBug.js                | JavaScript |         24 |          1 |          1 |         26 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\Item.vue                    | vue        |         31 |          0 |          3 |         34 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\Link.vue                    | vue        |         41 |          0 |          3 |         44 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\Logo.vue                    | vue        |         84 |          0 |         10 |         94 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\SidebarItem.vue             | vue        |         94 |          0 |          7 |        101 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\Sidebar\index.vue                   | vue        |         55 |          0 |          3 |         58 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\TagsView\ScrollPane.vue             | vue        |         85 |          0 |         10 |         95 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\TagsView\index.vue                  | vue        |        326 |          0 |          7 |        333 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\components\index.js                            | JavaScript |          5 |          0 |          1 |          6 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\index.vue                                      | vue        |        101 |          0 |         11 |        112 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\layout\mixin\ResizeHandler.js                         | JavaScript |         40 |          2 |          4 |         46 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\main.js                                               | JavaScript |         66 |         21 |         17 |        104 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\permission.js                                         | JavaScript |         49 |          5 |          5 |         59 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\auth.js                                       | JavaScript |         51 |          6 |          4 |         61 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\cache.js                                      | JavaScript |         70 |          6 |          2 |         78 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\download.js                                   | JavaScript |         76 |          0 |          4 |         80 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\index.js                                      | JavaScript |         14 |          5 |          2 |         21 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\modal.js                                      | JavaScript |         65 |         16 |          3 |         84 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\plugins\tab.js                                        | JavaScript |         61 |          9 |          2 |         72 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\router\index.js                                       | JavaScript |        163 |         27 |          8 |        198 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\settings.js                                           | JavaScript |         10 |         27 |          8 |         45 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\getters.js                                      | JavaScript |         19 |          0 |          1 |         20 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\index.js                                        | JavaScript |         22 |          0 |          4 |         26 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\app.js                                  | JavaScript |         62 |          0 |          5 |         67 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\dict.js                                 | JavaScript |         44 |          3 |          4 |         51 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\permission.js                           | JavaScript |        125 |          6 |          7 |        138 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\settings.js                             | JavaScript |         35 |          2 |          6 |         43 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\tagsView.js                             | JavaScript |        223 |          1 |          5 |        229 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\store\modules\user.js                                 | JavaScript |         90 |          4 |          8 |        102 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\auth.js                                         | JavaScript |         11 |          0 |          5 |         16 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\Dict.js                                    | JavaScript |         61 |         16 |          6 |         83 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\DictConverter.js                           | JavaScript |         10 |          5 |          3 |         18 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\DictData.js                                | JavaScript |          7 |          6 |          1 |         14 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\DictMeta.js                                | JavaScript |         23 |         12 |          4 |         39 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\DictOptions.js                             | JavaScript |         29 |         18 |          5 |         52 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\dict\index.js                                   | JavaScript |         32 |          0 |          2 |         34 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\errorCode.js                                    | JavaScript |          6 |          0 |          1 |          7 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\config.js                             | JavaScript |        433 |          1 |          5 |        439 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\css.js                                | JavaScript |         16 |          0 |          3 |         19 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\drawingDefault.js                     | JavaScript |         29 |          0 |          1 |         30 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\html.js                               | JavaScript |        322 |          4 |         34 |        360 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\icon.json                             | JSON       |          1 |          0 |          0 |          1 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\js.js                                 | JavaScript |        212 |          2 |         22 |        236 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\generator\render.js                             | JavaScript |        118 |          1 |          8 |        127 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\index.js                                        | JavaScript |        269 |         90 |         32 |        391 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\jsencrypt.js                                    | JavaScript |         21 |          3 |          7 |         31 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\permission.js                                   | JavaScript |         29 |         10 |          8 |         47 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\request.js                                      | JavaScript |        133 |         13 |          7 |        153 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\ruoyi.js                                        | JavaScript |        190 |         25 |         19 |        234 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\scroll-to.js                                    | JavaScript |         39 |         15 |          5 |         59 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\utils\validate.js                                     | JavaScript |         36 |         36 |          9 |         81 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\RecommendationSys\InnerRecommendation\index.vue | vue        |        373 |         65 |         12 |        450 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\activity\activities\index.vue                   | vue        |        309 |         17 |          9 |        335 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\details\details.vue                    | vue        |        187 |          3 |          5 |        195 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\list\list.vue                          | vue        |        344 |         17 |          6 |        367 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\list\list_admin.vue                    | vue        |        337 |          9 |          5 |        351 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\modify\modify.vue                      | vue        |        146 |          3 |          9 |        158 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\myArticles\myArticles.vue              | vue        |        338 |          9 |          5 |        352 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\articles\review\review.vue                      | vue        |        334 |          9 |          5 |        348 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\booksys2\books2\index.vue                       | vue        |        252 |          1 |          8 |        261 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\booksys\books\index.vue                         | vue        |        252 |          1 |          7 |        260 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\BarChart.vue                          | vue        |         98 |          0 |          5 |        103 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\LineChart.vue                         | vue        |        133 |          0 |          3 |        136 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\PanelGroup.vue                        | vue        |        159 |          0 |         23 |        182 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\PieChart.vue                          | vue        |         76 |          0 |          4 |         80 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\RaddarChart.vue                       | vue        |        112 |          0 |          5 |        117 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\dashboard\mixins\resize.js                      | JavaScript |         48 |          4 |          5 |         57 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\doActivity\doActivities\index.vue               | vue        |        363 |         48 |         18 |        429 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\error\401.vue                                   | vue        |         85 |          0 |          4 |         89 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\error\404.vue                                   | vue        |        230 |          0 |          4 |        234 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\homePage\themeOne\index1.vue                    | vue        |        135 |          0 |         18 |        153 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\index.vue                                       | vue        |        146 |          2 |         19 |        167 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\index_v1.vue                                    | vue        |         87 |          0 |         12 |         99 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\login.vue                                       | vue        |        331 |          1 |         16 |        348 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\cache\index.vue                         | vue        |        143 |          0 |          6 |        149 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\cache\list.vue                          | vue        |        235 |          0 |          7 |        242 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\druid\index.vue                         | vue        |         15 |          0 |          1 |         16 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\job\index.vue                           | vue        |        503 |          2 |          9 |        514 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\job\log.vue                             | vue        |        288 |          1 |          7 |        296 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\logininfor\index.vue                    | vue        |        240 |          0 |          7 |        247 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\online\index.vue                        | vue        |        117 |          0 |          6 |        123 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\operlog\index.vue                       | vue        |        315 |          1 |          8 |        324 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\monitor\server\index.vue                        | vue        |        201 |          0 |          7 |        208 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\recHisList\rechistory\index.vue                 | vue        |        326 |         57 |         10 |        393 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\recommendationItem\recommendationItem\index.vue | vue        |        389 |         48 |         12 |        449 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\redirect.vue                                    | vue        |         12 |          0 |          1 |         13 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\register.vue                                    | vue        |        215 |          0 |          6 |        221 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\booksys\books\index.vue                  | vue        |        252 |          1 |          7 |        260 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\config\index.vue                         | vue        |        336 |          1 |          7 |        344 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\dept\index.vue                           | vue        |        334 |          1 |          6 |        341 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\dict\data.vue                            | vue        |        395 |          1 |          6 |        402 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\dict\index.vue                           | vue        |        340 |          1 |          6 |        347 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\menu\index.vue                           | vue        |        446 |          1 |          6 |        453 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\notice\detail.vue                        | vue        |         67 |          0 |          3 |         70 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\notice\index.vue                         | vue        |        256 |          1 |          7 |        264 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\post\index.vue                           | vue        |        302 |          1 |          7 |        310 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\authUser.vue                        | vue        |        194 |          0 |          5 |        199 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\index.vue                           | vue        |        596 |          2 |          7 |        605 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\role\selectUser.vue                      | vue        |        134 |          1 |          2 |        137 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\authRole.vue                        | vue        |        112 |          0 |          5 |        117 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\index.vue                           | vue        |        665 |          4 |          7 |        676 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\profile\index.vue                   | vue        |         89 |          0 |          3 |         92 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\profile\resetPwd.vue                | vue        |         67 |          0 |          3 |         70 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\profile\userAvatar.vue              | vue        |        181 |          0 |          4 |        185 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\system\user\profile\userInfo.vue                | vue        |         86 |          0 |          3 |         89 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\CodeTypeDialog.vue                   | vue        |        105 |          0 |          2 |        107 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\DraggableItem.vue                    | vue        |         95 |          0 |          6 |        101 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\IconsDialog.vue                      | vue        |        121 |          0 |          3 |        124 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\RightPanel.vue                       | vue        |        932 |          2 |         13 |        947 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\TreeNodeDialog.vue                   | vue        |        148 |          0 |          2 |        150 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\build\index.vue                            | vue        |        751 |          0 |         18 |        769 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\basicInfoForm.vue                      | vue        |         59 |          0 |          2 |         61 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\createTable.vue                        | vue        |         43 |          1 |          2 |         46 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\editTable.vue                          | vue        |        231 |          0 |          4 |        235 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\genInfoForm.vue                        | vue        |        303 |          0 |         10 |        313 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\importTable.vue                        | vue        |        118 |          1 |          2 |        121 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\gen\index.vue                              | vue        |        349 |          1 |          5 |        355 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\tool\swagger\index.vue                          | vue        |         15 |          0 |          1 |         16 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\video2.vue                                      | vue        |         52 |          0 |          3 |         55 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\src\views\video3.vue                                      | vue        |         19 |          0 |          2 |         21 |
| d:\RuoYi\RuoYi-Vue-master\ruoyi-ui\vue.config.js                                             | JavaScript |        107 |         15 |          9 |        131 |
| Total                                                                                        |            |     28,088 |      1,010 |      1,546 |     30,644 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
